,Name,Latitude,Longitude,Rating,Review Count
422,Downtown Pub,-8.0639,-34.8724599,4.5,11
423,Espaço Muda,-8.0533199,-34.8791199,4.5,3
424,Cais do Sertão,-8.060006,-34.869925,4.5,5
425,Restaurante Capitão Lima,-8.0541897,-34.8778,4.0,4
426,Caravela's,-8.0620203,-34.8714104,5.0,4
427,Bar Burburinho,-8.0640259,-34.8724022,4.5,6
428,As Galerias,-8.0612999,-34.87173,4.5,5
429,Itapissuma,-8.0542775,-34.8812561,5.0,2
430,Frontal Ponto de Encontro,-8.0578604,-34.8801994,3.5,5
431,Feirinha do Bom Jesus,-8.0621405,-34.8713989,4.5,5
432,Empório Sertanejo,-8.0423002,-34.8914108,4.5,12
433,O Rei das Coxinhas,-8.0443096,-34.894249,4.5,11
434,China 48,-8.0403204,-34.8926697,4.5,5
435,Dalena,-8.0476161,-34.897091,4.5,9
436,Chiwake,-8.0479241,-34.8954469,5.0,5
437,ZEN,-8.04413390541109,-34.8928966601909,3.5,13
438,Via Paladar,-8.04317,-34.893261,5.0,3
439,Winner Sports Bar,-8.0473804,-34.8937912,4.5,5
